OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0013;RJÓMALÍKI, úr jurtafitu;Cream substitute, made from vegetable oil;100;10;1;2,5;29,0;22,52;2,78;1,24;0;0,07;1;4,5;3,8;3,8;0;0;0,6;62,5;1;1;0;0;0,4;0,4;0,03;0,1;0,4;0;0;1;0;0;86;67;10;30;112;0;0,2;;;;0,2;;0,89;0,35
0014;DUFT Í KAFFI;Coffee whitener;100;12;1;0;32,0;30,71;0,23;0,03;;0,37;0;65;;;0;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;0,03;
0015;BÆTIEFNI, hákarlalýsisperlur;Shark liver oil capsule;100;17;1;0;0,5;0,064;0,026;0,038;0,031;0;2,3;;;;;;;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;0,031
0016;GRÁSLEPPUHROGN, hrá;Lumpsucker, roe, raw;100;8;1;14,0;3,7;0,68;0,87;1,54;1,43;0,01;;2,4;;0,;0,;0,;1,1;79,5;30;30,;0,;2,50;10,0;10,00;0,75;0,70;5,0;1,3;;;;0,;16,1;158;5,4;136;222;0,37;1,32;0,035;;;76,6;;0,07;1,46
0017;TAKÓ SKELJAR, maísbrauð, hart;Taco shell, hard corn bread;100;4;4;7,1;20,8;4,4;11,8;15,5;0;0;0;58,1;1,2;0;4,6;0;2;7,4;0;0;3;0;0,69;0,69;0,22;0,08;2,6;1,9;0,20;46;0;0;101;226;85;389;223;1,86;1,61;;2,3;;4,8;;3,5;0,2
0018;HÁKARL, glerhákarl, kæstur;Shark, fermented, glerhakarl;100;8;4;29,8;47,7;;;;;;;;;;0,;;2,1;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0019;HÁKARL, hvítur hákarl, kæstur;Shark, fermented, white;100;8;4;22,0;35,8;6,4;8,6;17,2;10,7;;44;0,;0,;0,;0,;0,;1,7;43,9;0;0,;0,;0,;0,;0,;0,;0,;5,7;2,2;0,;0,;0,;0,;10,7;252,;23,;92,;332,;0,6;0,3;0,19;204,;0,;0,;0,;;
0020;HLÝRI, hrár;Spotted catfish, fillet, raw;50;8;1;16,0;6,3;1,2;3,0;1,5;1,3;;58;0,;0,;0,;0,;0,;1,0;78,2;18;18,;0,;1,3;2,4;2,4;0,18;0,045;5,3;2,5;0,35;1,;2,2;0,;35,;180,;25,;105,;282,;1,0;;;60,;;;;;
0021;HREFNUKJÖT, hrátt;Minkwhale meat, raw;100;7;5;25,2;2,1;0,45;0,82;0,46;;0,01;57;0;;;0;;1,0;73,1;90;90;;3,8;0,3;0,3;0,10;0,22;6,1;1,8;;;;;4,3;242;27,9;60;220;6,80;1,06;0,066;35;0,023;21,2;;0,04;0,39
0022;BORÐSMJÖRLÍKI, 40%, Lína og Smyrill;Table margarine, 40%, Lína & Smyril;100;10;5;1,0;40,4;16,6;6,2;15,7;;0,2;1;1,3;;;0;0;1,4;55,9;25;0;300;0;4,9;4,9;0,01;0,02;0,5;0;0,01;1;0,1;0;15,1;15,7;2,2;700;50,9;0,090;0,047;0;6,9;0,012;0;;11,71;1,56
