OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0319;HANGIKJÖT, soðið;Lamb, meat, smoked, boiled;100;7;1;20,9;11,1;4,7;3,6;0,8;0,1;0,3;79;0;0;0;0;0;5,1;62,7;0;0;0;0;0;0;0,04;0,23;5;3;0,08;8,6;2,3;0,;11;145;20;1540;252;1,2;2,9;0,12;1,2;0,06;8,0;;0,41;0,37
0320;LAMBALÆRI, kryddlegið, hrátt;Lamb, leg, marinated, raw;79;7;1;18,7;10,4;4,4;3,3;0,73;0,14;0,31;65;0,;0,;0,;0,;0,;2,4;67,2;;;;;;;;;;;;;;;;;;540,;;;;;;;;;0,39;0,34
0321;KEX, tekex;Biscuit, cream cracker;100;4;5;9,9;13,5;4,1;2,3;5,7;0;0;0;64,5;1,6;0,;3,8;0,;1,1;4,3;0;0,;0,;0;1,3;1,3;0,23;0,05;3,6;1,7;0,12;32;0;0;110,;110,;25,;500;120,;1,7;0,7;0,20;13;0,60;3,3;0,07;5,1;0,6
0322;MORGUNKORN, múslí, með sykri;Muesli, with sugar;100;4;3;11;12;1,8;5,4;7,2;0;0;0;58,6;18;4,9;9,4;0,;2,0;7;0;0;0;0;1,4;1,4;0,36;0,10;2,9;1,1;0,213;48,;0,;0;105,;382,;134,;66,;487,;3,70;2,27;0,50;0,91;2,92;7,1;;6;1
0323;SULTUKAKA;Cake, jam;100;4;6;6,2;17,0;5,73;6,03;2,22;0,03;1,02;38;56,0;27,2;26,5;2,8;0,;1,3;14,5;200,333;188,;148,;1,80;0,84;0,55;0,111;0,061;1,6;0,5;0,048;10,4;0,14;2,2;109,;108,;53,0;195,;138,;1,19;0,81;0,11;2,1;1,17;1,2;0,03;1,75;0,47
0324;SÚPA, blómkálssúpa;Soup, cauliflower;100;15;2;1,6;1,6;0,51;0,33;0,05;;0,63;;6,;;;;;1,1;90,;;;;0,;;;0,06;0,04;0,5;0,2;;;;;37,;40,;;390,;80,;0,2;0,1;0,02;;0,04;;;;
0325;HAFRAGRAUTUR, án sykurs og mjólkur;Porridge, oat, without sugar and milk;100;4;3;1,3;0,8;0,1;0,2;0,3;0;0;0;6,8;0,1;0,;1,3;0,;0,6;89,2;0;0,;0,;0,;0,16;0,08;0,036;0,013;0,4;0,1;0,009;1,8;0,;0,;8;49;14;195;42;0,49;0,31;0,04;0,1;0,49;0,17;0,02;0,28;0,01
0326;SÓSA, jöfnuð brún sósa;Sauce, brown;100;15;1;0,9;2,7;1,5;0,9;0,1;0,;;3;5,8;0,;0,;0,3;0,;0,5;89,7;0;0,;0,;0,;0,03;0,03;0,014;0,003;0,2;0,1;0,004;0,9;0,;0,;1,75;22,2;3,5;316,;63,5;0,10;0,06;0,02;0,2;0,06;0,1;0,;;
0327;SÓSA, MAJONES-, kokkteilsósa, 67%;Sauce, mayonnaise with ketchup;100;15;1;2;67,0;10,1;16,3;37,0;0,;;91;7;6;0;0,;0,;1,2;22,8;70,1;66,9;38,4;0,87;6,61;6,61;0,012;0,042;0,4;0,1;0,095;12,6;0,87;0,8;16,0;59,6;7,8;570,;59,6;0,29;0,38;0,03;6,9;0,09;8,6;0,;;
0328;SÚPA, kakósúpa;Soup, cocoa;100;15;2;3,0;3,2;2,2;1,0;0,1;0,;;9;14,2;7,4;3,9;0,2;0,;0,8;78,6;26,1917;25,0;14,3;0,02;0,08;0,07;0,040;0,114;0,7;0,2;0,036;0;0,32;0,3;81,9;80,3;18,8;35,4;181,;0,26;0,50;0,09;15,5;0,06;0,3;0,01;;
0329;SÚKKULAÐIDRYKKUR, heimatilbúinn;Chocolate drink, home made;100;12;1;3,3;7,2;4,4;1,2;0,2;0;0;;11,2;10,6;10,6;0,1;0,;1,2;77,;35,;;;0,1;0,1;;0,05;0,2;0,9;;0,05;;0,4;0,7;106,;;;43,;181,;0,3;0,3;;5,9;;;;0,2;0
0330;KAKÓDRYKKUR, heimalagaður, nýmjólk;Cocoa drink, made from whole milk;100;1;1;3,8;4,3;2,5;1,2;0,1;0;0,2;15;9,8;9,3;5,0;0,7;0;0,9;80,6;32,3333;31;16;0,03;0,07;0,07;0,05;0,14;1,0;0,1;0,04;4,9;0,3;0,4;100;99;24;43;233;0,76;0,57;0,14;10;0,18;1,8;;0,06;0,03
0331;FRÓMAS;Fromage;100;1;3;5,2;20,3;11,2;5,4;0,66;0,06;0,75;149;14,2;13,7;12,1;0;0;0,5;60,2;238,917;232;83;0,47;     0,91;1,42;0,04;0,15;0,90;0,02;0,04;20;0,43;3,6;45;77;5,4;53;100;0,44;0,40;0,03;15;0,02;7,7;0,02;0,48;0,19
0332;VORRÚLLUR, með nautakjöti, steiktar;Spring roll, fried, frozen;100;16;1;5,7;9,0;2,5;;;;;;22,6;2,0;;2,0;0,;1,5;59,2;;;;;;;0,13;0,10;1,1;0,7;0,07;;0,04;;149,;;21,0;535,;195,;2,95;1,3;;;;;;;
0333;BRÚNKAKA (formkaka);Sponge cake, brown;100;4;6;5,9;14,4;6,5;5,5;1,0;0,;;;52,0;22,0;;2,0;0,;1,5;24,1;120,;;;2,1;0,4;;0,1;0,2;1,8;;0,1;;;0,;75,;241,;25,;440,;197,;0,4;0,9;;;;;0,03;;
0334;MARMARAKAKA;Sponge cake, marmarakaka;100;4;6;6,7;23,2;6,9;11,6;2,4;;;;50,4;21,8;11,4;1,1;0,;1,3;17,3;120,;;;2,1;0,4;;0,1;0,2;1,8;;0,1;;;0,;48,;257,;20,;372,;116,;0,4;1,0;;;;;0,03;;
0335;JÓLAKAKA;Sponge cake, Christmas cake;100;4;6;6,6;11,3;3,7;4,8;1,8;0,01;0,1;59;55,6;27;24;2,0;0,;1,0;22,5;31,9167;30;23;0,07;0,77;0,75;0,09;0,09;1,4;0,46;0,06;13;0,35;0;56,;288,;22,;149;168,;1,4;0,88;0,25;9,2;0,23;5,6;0,03;1,5;0,32
0336;FORMKAKA;Sponge cake, formkaka;100;4;6;6,6;16,4;4,63;3,81;1,57;;1,46;;51,4;24,5;;0,7;0,;0,98;23,9;120,;;;2,1;0,4;;0,1;0,2;1,8;;0,1;;;;53,8;221,;21,3;411,;140,;0,4;0,9;0,12;;0,31;2,0;0,03;1,25;0,32
0337;HVEITI;Wheat flour, low protein;100;4;2;10,3;0,98;0,16;0,087;0,41;0;0;0;72,7;0,50;0,;3,41;0,;0,56;12,7;0;0,;0,;0,;0,8;0,8;0,12;0,04;2,9;1,3;0,044;26;0,;0,;17,7;100;20,0;0,9;155;1,07;0,570;0,100;1,3;0,61;3,3;0,01;0,63;0,04
0338;HVEITI, vítamín- og járnbætt, Pillsbury best;Wheat flour, enriched, Pillsbury best;100;4;2;10,3;0,98;0,16;0,087;0,41;0;0;0;73,6;0,50;0,;2,7;0,;0,47;11,9;0;0,;0,;0,;0,37;0,37;0,785;0,494;7,5;5,9;0,044;154;0;0;15;108;22;2;107;4,64;0,70;0,144;1,9;0,682;33,9;0,02;0,63;0,04
0339;HEILHVEITI;Wheat, flour, wholemeal;100;4;2;10;1,7;0,2;0,2;0,8;0,1;;0;60,5;0,7;0,;12,3;0,;1,5;14,0;0;0,;0,;0,;1,5;1,4;0,40;0,13;7,8;5,6;0,35;50,;0,;0,;35,;323,;105,;3,;378,;1,79;1,43;0,28;1,3;1,83;9,6;0,01;;
0340;RÚGMJÖL, gróft;Rye flour, whole meal;100;4;2;9;2,2;0,3;0,2;1,1;0,1;;0;57,3;2,4;0,;16,2;0,;1,5;14;0,541667;0,;6,5;0,;1,5;1,15;0,30;0,13;2,7;1,0;0,35;69,;0,;0,;40,;360,;85,;1,;530,;3,3;2,1;0,36;4,6;3,1;3,0;0,06;;
0341;BRAUÐ, heilhveitibrauð;Bread, wholemeal;100;4;4;9,7;2,3;0,47;0,74;0,59;0,;0,01;0;45,7;3,3;0,4;4,6;0,;2,1;35,6;0;0;0;0;0,5;0,5;0,185;0,120;4,2;2,5;0,155;32;0,;0,;14,3;97,3;17,4;453;117;0,832;0,467;0,0743;2,8;0,95;4,6;0,01;0,49;0,10
0342;BRAUÐ, maltbrauð;Bread, rye, fine;100;4;4;6,3;1,3;0,2;0,3;0,6;0;0;0;39,4;2,82;1,5;6,9;0,;2,5;43,0;0;0,;0,;0,;0,25;0,2;0,22;0,14;2,03;0,70;0,122;26;0,;0,;45,0;172;34,1;480;187;1,16;1,07;0,137;1,3;2,2;2,9;0,01;0,533;0,096
0343;BRAUÐ, fjölkornabrauð;Bread, white, whole grain and seed;100;4;4;9,2;3,3;1,3;0,7;0,5;0,;0,02;8;42,5;0,6;0,3;5,1;0,;2,4;37,5;0;0;0;0;0,3;0,3;0,154;0,092;4,2;2,5;0,096;32;0,;0,;72,;231,;63,;495,;190,;1,62;1,26;0,19;1,3;0,76;4,1;0,09;0,4;0,05
0344;SINNEP, sætt;Mustard, prepared, sweet;100;15;1;4,0;3,1;0,16;2,1;0,58;0;0;0;20,2;14,5;14,5;1,7;0,;3,5;67,5;0;0,;0,;0,;1,8;1,8;0,10;0,20;1,0;0,;0,01;0,;0,;0,;27,5;86,9;28,0;291,;76,5;1,8;0,7;0,090;3,0;0,36;6,;;0,28;0,29
0345;SÚKKULAÐI, Prins Póló og Hraun;Chocolate wafer, Prince Polo and Hraun;100;11;3;6,7;25,3;14,5;7,8;0,74;0;0,1;11,4;63,6;37,0;35,;1,4;0,;1,5;1,5;33,1;33,1;0,;0,;0,5;0,5;0,065;0,170;2,0;0,6;0,035;7;0;0,2;    135;    135;30,;    138;    331;3,79;1,39;0,37;4,9;0,73;3,5;0,014;0,67;0,07
0346;RÚNNSTYKKI;Bread, roll;100;4;4;11,7;4,4;1,30;1,17;0,44;;0,58;0;56,9;1,9;1,6;2,5;0,;1,9;22,6;12,7;12,7;0;0,2;0,53;0,50;0,144;0,085;3,1;;0,062;73,;0,;0,;55,6;143,;37,2;610,;141,;1,38;0,7;0,12;2,5;0,60;3,11;0,05;0,30;0,14
0347;SNÚÐAR;Roll;100;4;6;7,3;4,9;1,3;1,8;0,3;0,;0,4;0;63,5;23,0;22,8;2,3;0,;1,0;23,8;28,6;25,4;38,4;0,6;0,28;0,25;0,2;0,2;2,2;;0,1;;0,;0,;11,;;;222,;81,;1,6;0,75;0,10;1,0;0,43;;;;
0348;PÖNNUKÖKUR;Pancake;100;4;6;8,1;8,8;3,9;2,0;1,6;0;0,2;80;27,2;4,3;0,8;1,1;0;1,4;53,4;98,8333;97;22;0,57;1,50;1,50;0,072;0,196;2,0;0,4;0,052;15,7;0,51;0,3;183;202;18;308;173;0,73;0,73;0,08;0,7;0,21;1,7;;1,48;0,21
0349;SVAMPBOTN;Cake, svampbotn;100;4;6;8,1;5,5;1,6;;0,8;;;272;52,3;37,2;;0,8;0,;2,1;31,2;83,7;;;0,7;;;0,1;0,2;2,2;;0,1;;0,7;0,;26,;;;153;85,;2,0;0,8;;10,7;;;;;
0350;SÚKKULAÐIKAKA;Cake, chocolate;100;4;6;5,4;21,5;9,43;4,35;1,57;0,02;0,5;102;53,2;28,5;27,8;1,0;0,;1,7;17,2;263,917;249,;179,;1,85;0,87;0,66;0,059;0,088;1,3;0,4;0,041;7,5;0,36;0,;95,8;150,;26,2;291,;176,;2,0;0,94;0,29;5,9;0,28;2,5;0,03;1,19;0,38
0351;VÖFFLUR;Pastry, waffles;100;4;6;8,7;12,3;5,2;2,7;2,7;0;0,48;104;31,0;9,0;6,3;1,2;0,;1,7;45,5;139,417;137;29;0,93;2,18;2,18;0,070;0,211;2,0;0,5;0,053;18,6;0,54;0,2;171;204;18;348;159;0,90;0,76;0,09;20,3;0,22;8,6;0,01;2,5;0,3
0352;SKONSUR;Pancake, thick;100;4;4;8,5;6,0;1,4;1,4;2,6;0;0,06;38;35,1;4,9;1,9;1,6;0;2,0;46,6;28,1167;27,8;3,8;0,13;1,07;0,93;0,072;0,137;2,0;0,6;0,045;12,6;0,35;0;258;259;21,4;409;171;0,70;0,73;0,11;1,7;0,28;1,7;0,01;2,4;0,29
0353;KRINGLUR;Rusk;100;4;4;11,5;2,4;0,90;0,96;0,28;0;0,11;0;72,2;1,1;;3,0;0,;2,5;8,4;0;0;0;0;1,4;1,4;0,10;0,02;5,8;4,0;0,28;21,;0;0,;35,1;145,;34,2;591,;161,;0,70;1,2;0,21;4,9;0,51;4,5;0,014;0,22;0,06
0354;BRAUÐ, sigtibrauð;Bread, white, rye and wheat;100;4;4;7,6;1,1;0,1;0,1;0,5;0,1;;0;46,8;1,6;0,3;4,5;0,;2,4;37,6;5,5;0,;66,;0,;0,27;0,25;0,143;0,071;1,2;0,70;0,067;38,;0,;0,;27,;128,;18,;591,;131,;0,89;0,6;0,12;2,6;;3,9;0,09;;
0355;MORGUNKORN, kornflögur;Breakfast cereal, cornflakes;100;4;3;7,8;1,0;0,2;0,3;0,5;0,;0;0;82,3;8,0;8;2,9;0,;3,0;3,0;14,1667;0,;170,;4,8;0,04;0,02;1,2;1,3;18,4;17,6;1,7;166;0,83;0,;4,5;34,0;10,;500;79,1;8;0,23;0,03;0,9;0,08;2,0;0,05;0,3;0,2
0356;MORGUNKORN, hafrahringir;Breakfast cereal, Cheerios;100;4;3;12,4;6,6;1,5;2,3;2,4;0;0,;0;65,4;4,5;3,5;7,4;0,;4,3;3,9;0;0;0,;0;0,92;0,92;0,39;0,13;1,5;0,8;0,13;47;0;0;53;357,1;142,9;560;306,;4,7;3;0,32;1,5;3,04;31,1;0,059;2,04;0,08
0357;MORGUNKORN, Cocoa Puffs;Breakfast cereal, Cocoa Puffs;100;4;3;5,2;5,1;0,7;2,5;1,4;0;0;0;80,2;42,1;41;5,3;0,;2,27;1,89;536;536;0,;3,6;0,456;0,456;1,3;1,5;18,5;17,9;1,8;357;5,4;21,4;357;66,7;25,;500;174;16,1;13,4;0,140;1,5;0,109;6,5;;1,1;0,3
0358;KEILA, flök, hrá;Tusk, fillet, raw;50;8;1;19,1;1,3;0,2;0,3;0,4;0,4;;60;0,;0,;0,;0,;0,;1,0;80,4;2;2,;0,;0,;0,26;0,26;0,05;0,15;6,3;2,8;;;1,2;0,;37,;;;118,;290,;0,1;;;350,;;;;;
0359;SYKUR;Sugar, sucrose, white;100;11;1;0;0;0;0;0;0;0;0;99,9;99,9;99,9;0,;0,;0,;0,1;0;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,38;0,1;0,12;0,;1,9;0,057;0,011;0,010;;0,010;0;0,05;;
0360;SALT, borðsalt;Salt, table salt;100;13;1;0,;0,;0,;0,;0,;0,;0;0;0,;0,;0,;0,;0,;99,3;0,5;0;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;29,;8,;290,;38850,;0,;0,20;0,076;0,16;5,0;0,14;0,5;0,85;;
0361;APPELSÍNUR;Orange;71;6;1;0,9;0,6;0,118;0,127;0,235;0;0;0;10,8;9,5;0,;1,6;0,;0,4;85,5;4;0,;48,;0,;0,36;0,36;0,075;0,035;0,4;0,3;0,082;46,2;0,;53,;40,;24,;12,;2,;173,;0,15;0,080;0,07;0,30;0,042;0,050;0,01;0,168;0,067
0362;BANANAR;Banana;60;6;1;1,2;0,3;0,100;0,036;0,083;0;0;0;20,2;13,1;0,;1,8;0,;0,8;76,;4,41667;0,;53,;0,;0,21;0,21;0,04;0,05;0,9;0,7;0,299;38;0,;11,;5,;28,;26,;2,;347,;0,35;0,18;0,11;0,40;0,24;1,04;0,01;0,035;0,048
0363;KÍVÍ;Kiwi fruit, raw;86;6;1;1,0;0,5;0,1;0,1;0,2;0;0;0;11,6;6,7;0,;2,4;0,;0,7;83,;3,91667;0,;47,;0,;0,20;0,20;0,006;0,05;0,6;0,5;0,12;42,;0,;63,;27,;28,;13,;3,;270,;0,27;0,091;0,13;0,40;0,1;0,30;;0,1;0,1
0364;EPLI;Apple, raw;90;6;1;0,3;0,3;0,064;0,010;0,188;0;0;0;10,9;8,1;0,;1,9;0,;0,3;86,3;2,08333;0,;25,;0,;0,24;0,24;0,020;0,011;0,1;0,1;0,045;9;0,;10;20,;9,;5,;3,;112,;0,13;0,034;0,028;0,20;0,047;0,30;;0,15;0,041
0365;SÓSA, MAJONES, 79% fita;Mayonnaise;100;15;1;2;79;11;17;45;0;0;91;1;0,5;0,5;0,;0,;1,1;16,9;42,75;42;9;0,28;15,4;15,4;0,02;0,030;0,3;0;0,02;10;0,2;0;10;38;1;390;9;0,30;0,40;0,030;6,0;0;2;;40;9
0366;SÓLBLÓMAOLÍA;Sunflower oil;100;10;1;0,;99,0;12,23;23,09;65,21;;0,30;0;0,;0,;0,;0,;0,;0,;0,;0;0,;0,;0,;59,0;59,0;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,01;;;;;63,60;1,61
0367;KINDAHAKK, hrátt;Sheep meat, minced;100;7;1;20,6;15,0;5,93;5,18;0,61;;0,62;70;0,;0,;0,;0,;0,;1,0;63,6;5;5;0;0,4;0,19;0,19;0,18;0,31;7,8;4,3;0,20;24,6;2,6;0,;4,5;166,;21,6;70,0;270,;1,04;2,99;0,11;2,3;0,06;5,0;0,006;0,37;0,24
0368;NAUTAHAKK, ungnauta 8-12%fita hrátt;Beef, minced, raw;100;7;2;19,7;9,6;4,66;3,42;0,23;0,02;0,37;61;0,;0,;0,;0,;0,;1,1;69,3;6,83333;4,;34,;0,5;0,23;0,23;0,15;0,24;10,0;6,2;0,32;7,3;1,4;0,;6,1;184;16,8;79,8;271;1,7;3,9;0,047;1,7;0,02;3,83;0,006;0,14;0,10
0369;LAMBAKÓTILETTUR, glóðaðar;Lamb, cutlet;68;7;1;26,3;22,5;11,0;6,9;0,90;0,08;0,86;73;0,;0,;0,;0,;0,;1,2;51,0;;;;;;;0,10;0,20;6,4;;;;;0,;9,;;;;;1,9;3,3;;;;;;0,46;0,44
0370;LAMBAKÓTILETTUR, steiktar í raspi;Lamb, cutlet, broiled;100;7;1;19,0;27,4;13,4;8,4;1,1;0,10;1,1;89;7,5;0,4;0,;0,6;0,;1,6;43,9;10;10;0;0,3;0,37;0,35;0,110;0,199;6,4;3,6;0,144;19,6;2,01;0,;17,1;183,;25,6;542,;286,;1,70;2,56;0,17;2,9;0,07;;0,03;0,56;0,53
0371;ÝSA, steikt í raspi;Haddock, breaded, fried;100;8;1;19,8;7,6;1,1;3,0;2,4;0,3;;73;6,6;0,4;0,;0,7;0,;2,1;64,8;19;19;0;0,76;0,93;0,93;0,04;0,07;4,7;1,7;0,39;14;2,0;0,;31,1;215;30;492;417;0,36;0,47;0,04;184;0,07;40;0,17;1,9;0,5
0372;ÝSA, djúpsteiktir bitar með raspi;Haddock, deep fried, breaded;100;8;1;18,7;11,2;1,57;3,94;3,39;0,15;0,83;87;7,3;;0,;1,0;0,;2,0;59,9;0;0;0;0;0,5;0,5;0,07;0,13;5,4;2,2;0,23;9;2;0,;180;270;28;180;280;0,4;0,5;0,04;191;    0,14;38,8;0,17;2,91;0,48
0373;GELLUR, hráar;Fish, part of fish head;100;8;1;14,5;0,6;0,10;0,06;0,23;0,21;0;48;0,;0,;0,;0,;0,;0,3;86,9;2;2;0;0,7;0,5;0,5;0,03;0,03;4,4;1,2;0,33;9;1,1;0,;7,5;51;9,3;59,5;52;0,69;1,96;0,03;191;0,008;40,8;0,02;0,02;0,22
0374;KINNAR, nætursaltaðar, hráar;Fish, part of fish head, salted;60;8;4;15,9;0,8;0,1;0,1;0,3;0,3;;48;0,;0,;0,;0,;0,;3,0;80,8;;;;0,;;;0,03;0,03;4,4;1,2;0,33;19,;1,1;0,;16,5;106,;17,2;1080,;172,;0,97;0,38;;;;;;;
0375;ÍS, jógúrtís;Ice cream, made from joghurt;100;3;1;4;3,5;2,1;0,9;0,07;0;0,14;14;18;18;14;0,;0,;0,8;73,7;33,5;32,2;15,8;0,03;0,08;0,08;0,04;0,18;0,9;0,1;0,02;2;0,2;0;140;100;13;80;180;0,01;0,4;0,03;7,8;0,010;1,7;0,01;0,04;0,03
0376;SNÚÐAR, með súkkulaði;Roll, with chocolate;100;4;6;7,26;4,6;1,3;1,2;0,9;0;0,1;0;60,7;7,7;7,6;2,4;0,;0,97;24,1;0;0;0;0;0,28;0,25;0,09;0,09;1,4;0,46;0,06;13;0,;0;42,8;87,2;30,1;264;210,;1,6;0,75;0,1;1,1;0,43;4,5;0,03;0,8;0,1
0377;SKYR, skyr.is, ávaxta-;Skyr, skyr.is, fruit-;100;1;2;  9,7;0,35;0,12;0,05;0;0;0,01; 2;12,2;12,2;8;0,1;;0,7;77,1;1,875;1,8;0,9;0,007;0,005;0,005;0,077;0,17;2,4;0,13;0,067;28,3;0,36;;100;192;9,4;32,0;123;0,045;0,521;0,016;23,0;0,014;6,43;0,01;;
0378;SKYR, skyr.is, án viðb. sykurs;Skyr, skyr.is, no sugar added;100;1;2;10,6;0,35;0,1;0;0;;;2;3,7;3,7;0;0;;0,8;84,6;1,875;1,8;0,9;0,007;0,005;0,005;0,077;0,19;3,0;0,13;0,067;28,3;0,36;0,1;101;151;10;45;142;0,13;0,45;0,05;23;0,014;5,2;;;
0379;LGG+, hreint, með sætuefni;LGG+, milk, cultured, with sweetener;100;1;2;    3,0;0,1;;;;;;1;4,9;4,9;0;0;;0,7;91,3;;;;;;;0,047;0,164;;;;;0,4;;102;84;10;51;165;;;;;;;;;
0380;BÆTIEFNI, þorskalýsisperlur;Cod liver oil capsule;100;17;1;0,08;0,275;0,05;0,12;0,08;0,06;0;1,2;0,03;0,;0,;0,;0,;0,;0,;108;108;0,;1,5;0;0;0,;0,;0,;0,;0,;0,;0,;0,;0;0;0;0;0;0;0,;0,;0,;0,;0,;0,;0,01;0,07
0381;BÆTIEFNI, fjölvítamín, Vitamineral;Vitamin tablets, Vitamineral;100;17;1;0,;0,;0,;0,;0,;;;0;0,;0,;;0,;0,;0,;0,;900;900,;0,;10,;10,;10,;1,5;2,;20,;20,;2,;100,;3,;60,;0,;0,;0,;0,;0,;15,;10,;2,;0,;;50,;0,;;
0382;HVEITI, próteinríkt;Wheat flour, high protein;100;4;2;12,5;0,98;0,16;0,087;0,41;0;0;0;66,7;0,50;0;3,7;0,;0,61;11,9;0;0;0;0;0,8;0,8;0,12;0,04;2,9;1,3;0,044;26;0;0;17;120;30;2;140;1,19;0,829;0,20;1,3;0,61;20,1;0,01;0,63;0,04
0383;MORGUNKORN, Bran Flakes, Kelloggs;Breakfast cereals, Bran Flakes, Kelloggs;100;4;3;10;2,0;0,3;0,18;1,03;0;;0;67;21;20;15;0,;4,0;3,0;0;0,;0,;4,2;8,3;;1,2;1,3;18;15;1,7;333;0,85;0;50,;370,;182,;750;540,;11,7;13,2;0,35;2,4;;6,8;0,17;;
0384;APPELSÍNUÞYKKNI;Orange juice concentrate;100;12;4;2,4;0,2;0,;0,;0,;0,;0;0;37,5;32,0;0,;0,5;0,;1,4;58,0;14;0,;168,;0,;1,0;1,0;0,28;0,06;0,8;0,7;0,16;155,;0,;138,;32,;57,;34,;3,;670,;0,45;0,15;0,15;1,4;0,08;;0,04;;
0385;ÁVEXTIR, niðursoðnir í vatni;Fruit cocktail, canned, in water;100;6;4;0,4;0,;0,;0,;0,;;0,;0;13,0;9,;0,;2,;0,;0,2;84,4;10;0,;120,;0,;0,2;0,2;0,02;0,02;0,4;0,4;0,05;6;0,;2,;6,;11,;5,;6,;88,;0,29;0,08;0,12;0,50;0,19;0,1;;;
0386;HAMSATÓLG;Tallow;100;10;3;1,1;93,1;46,9;28,2;2,7;0;3,8;66;0,;0,;0,;0,;0,;0,9;4,9;0;0;0;0;0;0;0,;0,;0,;0;0,;0,;0,;0,;5,8;10,8;1,3;323,;18,8;0,;0,;;;;;;1,3;1,3
0387;KÓKOSFEITI;Coconut oil;100;10;1;0,;100;86,6;6,1;1,4;0;;0;0,;0,;0,;0,;0,;0,;0,;0;0,;0,;0,;0,4;0,4;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;;;;;;1,3;
0388;LAMBAMÖR;Suet, lamb;100;10;3;0,;94,1;47,4;28,5;2,7;0;3,8;66;0,;0,;0,;0,;0,;0,;5,1;0;0;0;0;0,9;0,92;0,;0,;0,;0,;0,;0,;0,;0,;0,98;0,;0,5;19,2;2,8;0,;0,;;;;;;1,4;1,4
0389;BÆTIEFNI, fjölvítamvökvi, Frískamín;Vitamin supplement, Frískamín;100;17;1;0;0;0;0;0;;;0;23;0,;0,;0,;0,;2;75;6005;6000;60;100;90;90;14;16;180;180;18;2000;30;600;0,;0,;0,;1,;3,;0,;0,;0,;0,;0,;0,;0,;;
0390;BIRKIFRÆ;Poppy seeds;100;6;3;19,8;44,7;4,9;6,3;30,8;;;0;14,9;;0,;6,3;0,;9,4;4,9;0;0,;0,;0,;0,5;0,5;1,849;0,173;5,3;1,0;0,550;;0,;;1448,;849,;331,;21,;700,;9,4;10,23;;;;;;;
0391;KJÖTSOÐ;Meat broth;100;15;2;0,;2,7;1,08;0,93;0,12;0,02;0,12;1;0,;0,;0,;0,;0,;0,5;96,8;0;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;13,;2,;326,;54,;0,;0,;0,;0,;0,;0,;0,;0,07;0,05
0392;SÚPA, uxahalasúpa;Soup, oxtail;100;15;2;2,4;1,7;0,6;0,6;0,2;0;0;7;6,1;0,9;0;0,1;0;1,2;88,5;0;0,;0,;0,;0,2;0,2;0,02;0,03;1,2;0,7;0,03;1;0;0;40;37;6;440;93;1,0;0,4;0,04;1;0;;;0,1;0,1
0393;KÚMEN;Caraway seed;100;13;1;18,6;14,6;0,6;7,1;3,3;;;0;39,9;;0,;12,7;0,;5,5;8,7;18;0,;216,;0,;;;0,383;0,379;;3,6;;;0,;;689,;568,;258,;17,;1351,;16,23;5,50;;;;;;;
0394;LAUKUR, þurrkaður;Onion, dehydrated;100;5;8;10,2;1,7;0,40;0,16;0,65;0;0,;0;68,1;;0,;12,1;0,;3,4;4,5;0;0,;0,;0,;2,69;2,4;0,500;0,100;0,990;0,990;1,600;166,;0,;0;257,;303,;92,;21,;1622,;1,55;1,89;0,416;9;1,389;5,0;;0,57;0,08
